Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Bugey 3;0;réacteur;900 MW;palier CPO;1978;NULL;Marche;rhone_bug_f.htm;;;69;;0;;1;100;194;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Bugey 2;0;réacteur;900 MW;palier CPO;1978;NULL;Marche;rhone_bug_f.htm;;;68;;0;;1;100;193;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
EL4;0;réacteur;70 MW;prototype EL;1967;1985;Arrêt définitif;bret_brenn_f.htm;;;505;;0;;0;50;190;6;2018-10-12 13:02:05;-3.88059490969883;48.3523416661398
Ionisos Orsay;0;autre;irradiateur;Ionisos;NULL;NULL;Arrêt définitif;;;;;;0;;0;40;123;NULL;2018-10-12 13:02:05;2.17558255740374;48.7153932238124
Chinon A1;0;réacteur;70 MW;UNGG;1963;1973;Arrêt définitif;cen_chinon_f.htm;;;499;;0;;1;100;143;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Bugey 1;0;réacteur;540 MW;UNGG;1972;1994;Arrêt définitif;rhone_bug_f.htm;;;67;;0;;1;20;192;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Saint Laurent des Eaux A1;0;réacteur;480 MW;UNGG;1969;1990;Arrêt définitif;cen_sain_f.htm;;;506;;0;;1;100;153;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Chinon A3;0;réacteur;480 MW;UNGG;1966;1990;Arrêt définitif;cen_chinon_f.htm;;;501;;0;;1;100;145;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Saint Laurent des Eaux A2;0;réacteur;420 MW;UNGG;1971;1992;Arrêt définitif;cen_sain_f.htm;;;507;;0;;1;100;154;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Chooz A;0;réacteur;300 MW;prototype;1966;1991;Arrêt définitif;;;;502;;0;;1;100;160;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Chinon A2;0;réacteur;210 MW;UNGG;1965;1985;Arrêt définitif;cen_chinon_f.htm;;;500;;0;;1;100;144;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Civaux 2;0;réacteur;1450 MW;palier N4;1999;NULL;Marche;;;;119;;0;;1;100;151;10;2018-10-12 13:02:05;0.667699870373724;46.4606295837955
Civaux 1;0;réacteur;1450 MW;palier N4;1997;NULL;Marche;;;;118;;0;;1;100;150;10;2018-10-12 13:02:05;0.667699870373724;46.4606295837955
Chooz B2;0;réacteur;1450 MW;palier N4;1997;NULL;Marche;;;;117;;0;;1;100;162;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Saint-Alban 2;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;101;;0;;1;100;164;14;2018-10-12 13:02:05;4.75007719530291;45.4024100171543
Chooz B1;0;réacteur;1450 MW;palier N4;1996;NULL;Marche;;;;116;;0;;1;100;161;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Saint-Alban 1;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;100;;0;;1;100;163;14;2018-10-12 13:02:05;4.75007719530291;45.4024100171543
Penly 2;0;réacteur;1300 MW;palier Génération III;1992;NULL;Marche;;;;113;;0;;1;100;184;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Penly 1;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;112;;0;;1;100;183;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Paluel 4;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;95;;0;;1;100;174;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Paluel 3;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;94;;0;;1;100;173;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Paluel 2;0;réacteur;1300 MW;palier P4;1984;NULL;Marche;;;;93;;0;;1;100;172;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Nogent 2;0;réacteur;1300 MW;palier P'4;1988;NULL;Marche;;;;111;;0;;1;100;187;21;2018-10-12 13:02:05;3.52143396227238;48.5231847484729
Paluel 1;0;réacteur;1300 MW;palier P4;1984;NULL;Marche;;;;92;;0;;1;100;171;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Nogent 1;0;réacteur;1300 MW;palier P'4;1987;NULL;Marche;;;;110;;0;;1;100;186;21;2018-10-12 13:02:05;3.52143396227238;48.5231847484729
Golfech 2;0;réacteur;1300 MW;palier P'4;1993;NULL;Marche;;;;115;;0;;1;100;166;15;2018-10-12 13:02:05;0.839084099704749;44.1012875533318
Golfech 1;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;114;;0;;1;100;165;15;2018-10-12 13:02:05;0.839084099704749;44.1012875533318
Flamanville 2;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;103;;0;;1;100;158;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Flamanville 1;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;102;;0;;1;100;157;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Cattenom 4;0;réacteur;1300 MW;palier P'4;1991;NULL;Marche;;;;107;;0;;1;100;142;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 3;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;106;;0;;1;100;141;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 1;0;réacteur;1300 MW;palier P'4;1986;NULL;Marche;;;;104;;0;;1;100;139;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 2;0;réacteur;1300 MW;palier P'4;1987;NULL;Marche;;;;105;;0;;1;100;140;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Belleville 2;0;réacteur;1300 MW;palier P4;1988;NULL;Marche;;;;109;;0;;1;100;126;1;2018-10-12 13:02:05;2.86895170479602;47.5166515694487
Belleville 1;0;réacteur;1300 MW;palier P4;1987;NULL;Marche;;;;108;;0;;1;100;125;1;2018-10-12 13:02:05;2.86895170479602;47.5166515694487
Saint-Pierre-du-Cantal;0;mine;;mine et usine de traitement de minerai;NULL;NULL;Arrêt définitif;auv_cantal_f.htm;;;;;5;;1;100;39;NULL;2018-10-12 13:02:05;2.33581453043601;45.3841385764557
Saint-Priest-la-Prugne;0;mine;;mine et usine de traitement de minerai;NULL;NULL;Arrêt définitif;rhone_pries_f.htm;;;;;7;;1;100;55;NULL;2018-10-12 13:02:05;3.7189793586731;45.9677429933309
Rophin Lachaux;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;auv_roph_f.htm;;;;;0;;1;20;22;NULL;2018-10-12 13:02:05;3.59284300000003;45.994546
Peny Margnac Compreignac;0;mine;;production de minerai;NULL;NULL;Arrêt définitif;lim_mar_f.htm;;;;http://www.francenuc.org/fr_sites/lim_peny_f.htm;0;;1;100;38;NULL;2018-10-12 13:02:05;1.27769514344379;45.9903402596293
Nogent sur Marne;0;mine;;usine pour l'extraction de radium;NULL;NULL;Démantelé;idfp_nog_f.htm;;;;;0;;1;100;24;NULL;2018-10-12 13:02:05;2.48797000000004;48.8371
Montmassacrot;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_mont_f.htm;;;;;1;;1;100;63;NULL;2018-10-12 13:02:05;1.37865136950313;46.0863575410297
Lodêve;0;mine;;mines et usine de traitement de minerai;NULL;NULL;Arrêt définitif;lang_bosc_f.htm;;;;;2;;1;100;68;NULL;2018-10-12 13:02:05;3.32249887037036;43.7360855169791
Le Cellier;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lang_cel_f.htm;;;;;4;;1;100;41;NULL;2018-10-12 13:02:05;3.70733239740673;44.7226926811072
La Commanderie Mallièvre;0;mine;;production d'uranium (mine. lixiviation);NULL;NULL;Arrêt définitif;pays_comm_f.htm;;;;http://www.francenuc.org/fr_chn/concentration_f.htm;2;;1;100;44;NULL;2018-10-12 13:02:05;-0.866446164136093;46.9109229266569
Jouac;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_jou_f.htm;;;;;2;;1;100;75;NULL;2018-10-12 13:02:05;1.25220008687828;46.3384860953719
Île Saint Denis;0;mine;;extraction du radium à partir du minerai d'uranium;NULL;NULL;Arrêt définitif;idfp_denis_f.htm;;;;;0;;1;20;29;NULL;2018-10-12 13:02:05;2.31738900000004;48.935953
Gueugnon;0;mine;;production d'uranium - usine de traitement de minerais et de préconcentrés d'uranium;1955;1980;Arrêt définitif;bourg_gue_f.htm;BOU3.pdf;;;;4;;1;100;72;NULL;2018-10-12 13:02:05;4.06671432267001;46.5949774596473
Gâtigny l'Escarpière;0;mine;;production d'uranium - mine souterraine et à ciel ouvert;1952;1990;Arrêt définitif;pays_lecap_f.htm;;;;http://www.criirad.org/actualites/uraniumfrance/ecarpiere/somecarpiere.html;2;;1;100;45;NULL;2018-10-12 13:02:05;-1.24000945586096;47.0756882294898
Fanay;0;mine;;CEA puis COGEMA - production d'uranium - site de la Division Minière de La Crouzille;1953;1992;Arrêt définitif;lim_fan_f.htm;LIM6.pdf;;;;0;;1;100;81;NULL;2018-10-12 13:02:05;1.35496297345119;46.0052652825175
Domeyrot - la Ribière;0;mine;;mine et traitement de minerai;NULL;NULL;Arrêt définitif;lim_rib_f.htm;;;;http://www.acro.eu.org/rapport_creuse_2007.pdf;0;;1;100;43;NULL;2018-10-12 13:02:05;2.15764455781595;46.2476772180451
Bessines-sur-Gartempe;0;mine;;production d'uranium - mine souterraine et à ciel ouvert (mine du Brugeaud);1955;1972;Arrêt définitif;lim_bes_f.htm;LIM3.pdf;;;http://www.francenuc.org/fr_sites/lim_mont_f.htm;3;;1;100;96;NULL;2018-10-12 13:02:05;1.36806327692969;46.1136788871114
Bellezane;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_bel_f.htm;;;;;0;;1;100;34;NULL;2018-10-12 13:02:05;1.42620827819253;46.0803879746857
Bertholène;0;mine;;extraction et traitement du minerai d'uranium - mine souterraine et à ciel ouvert;1977;1994;Arrêt définitif;midi_bert_f.htm;MIP1.pdf;;;;1;;1;100;97;NULL;2018-10-12 13:02:05;2.77674908232301;44.3955590725517
Bauzot Issy l'Evêque;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;bourg_bauzot_f.htm;;;;;3;;1;100;35;NULL;2018-10-12 13:02:05;3.97409000000002;46.708353
Toulon;0;militaire;;soutien des forces marines et aéronavales;NULL;NULL;Marche;prov_toul_f.htm;;;;;1;;0;100;50;NULL;2018-10-12 13:02:05;5.91175377357069;43.1183616410658
Saint-Hippolyte Bergheim;0;mine;;Teufelsloch & Schaentzel - production d'uranium;NULL;NULL;Arrêt définitif;als_hipp_f.htm;;;;;0;;1;100;36;NULL;2018-10-12 13:02:05;7.36423447381281;48.2050837128479
Miramas;0;militaire;;"usine de production de lithium 6 (militaire) et 7 et de bore (civil) ; magasin d'entreposage d'uranium";NULL;NULL;Arrêt définitif;prov_mira_f.htm;;;;http://www.areva.com/FR/activites-715/fin-des-activites-de-chimie-du-combustible-a-areva-miramas.html;1;;0;100;118;NULL;2018-10-12 13:02:05;4.94709175540072;43.5603027468383
Luxeuil;0;militaire;;base aérienne Mirage 2000N;NULL;NULL;Marche;franche_lux_f.htm;;;;;1;;0;20;25;NULL;2018-10-12 13:02:05;6.35490534376087;47.8016827243172
Bruyères le Châtel;0;militaire;;centre de recherche et développement - déchets d'assainissement ou de démantèlement. résultant de la fermeture des principales installations nucléaires du site;NULL;NULL;;idfg_beg_f.htm;IGC21.pdf;;;;0;;1;100;31;NULL;2018-10-12 13:02:05;2.1878313367768;48.5917457554269
Brest;0;militaire;;entretien et construction des bâtiments de la Marine;NULL;NULL;Marche;bret_brest_f.htm;;;;;0;;0;100;32;NULL;2018-10-12 13:02:05;-4.48225324862174;48.3807542556791
Arcueil;0;militaire;;recherche;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;104;NULL;2018-10-12 13:02:05;2.33779384647207;48.8069999818394
Arcueil;0;militaire;;recherche;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;103;NULL;2018-10-12 13:02:05;2.33728629897494;48.8081700054899
Annecy;0;militaire;;usine de métallurgie et usinage de l'uranium;NULL;NULL;;rhone_ann_f.htm;;;;;0;;0;100;105;NULL;2018-10-12 13:02:05;6.12400293971944;45.9033915859514
Arcueil;0;militaire;;Université de Paris - Institut du radium dit « Laboratoire d'Arcueil »;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;102;NULL;2018-10-12 13:02:05;2.33533607016498;48.8074196537768
Paris. Elysée;0;militaire;PC de tir;PC Jupiter;NULL;NULL;Marche;;;;;;0;;1;100;197;NULL;2018-10-12 13:02:05;2.316486;48.870144
Limeil Brévannes et Valenton;0;militaire;recherche;centre de recherche et développement militaires;NULL;NULL;Arrêt définitif;idfp_lim_f.htm;;;;;0;;1;20;26;NULL;2018-10-12 13:02:05;2.4863938827865;48.7491115958047
Guenvenez;0;militaire;missiles;soutien de la Force Océanique Stratégique;NULL;NULL;Marche;bret_pres_f.htm;;;;;0;;0;100;80;NULL;2018-10-12 13:02:05;-4.51579944521595;48.2626454932214
Mont Verdun;0;militaire;PC de tir;PC de secours;NULL;NULL;Marche;;;;;http://fr.wikipedia.org/wiki/Base_a%C3%A9rienne_942_Lyon-Mont_Verdun;0;;1;100;198;NULL;2018-10-12 13:02:05;4.783333;45.85
Bourges;0;militaire;établissement technique;essais et production d'armements;NULL;NULL;Marche;cen_etab_f.htm;;;;;0;;1;100;92;NULL;2018-10-12 13:02:05;2.39630342131661;47.0826466065302
Moruroa;0;militaire;essais nucléaires;site d'essais en Polynésie;NULL;NULL;Arrêt définitif;;;;;http://www.francenuc.org/fr_sites/idfg_beg_f.htm;0;;0;100;202;NULL;2018-10-12 13:02:05;-100;-21.833333333
Reggane;0;militaire;essais nucléaires;site d'essais dans le Sahara algérien;NULL;NULL;Démantelé;;;;;;0;;1;100;200;NULL;2018-10-12 13:02:05;0.16372;26.71619
In Eker;0;militaire;essais nucléaires;site d'essais dans le Sahara algérien;NULL;NULL;Démantelé;;;;;;0;;1;100;201;NULL;2018-10-12 13:02:05;-0.066667;23.31667
La Montagne;0;militaire;déchets;;NULL;NULL;;;;;;;0;;1;100;71;NULL;2018-10-12 13:02:05;-1.68585999999952;47.1904550000058
Fangataufa;0;militaire;essais nucléaires;site d'essais en Polynésie;NULL;NULL;Arrêt définitif;;;;;http://www.francenuc.org/fr_mat/tritium_f.htm;0;;1;100;203;NULL;2018-10-12 13:02:05;-100;-22.25
Gramat;0;militaire;déchets;essais et expérimentation militaire;NULL;NULL;;midi_gram_f.htm;;;;;2;;1;100;78;NULL;2018-10-12 13:02:05;1.7246507019212;44.7793149198225
Le Barp;0;militaire;;CESTA - centre de recherche et de production militaire;NULL;NULL;Marche;aquit_cesta_f.htm;;;;http://www-dam.cea.fr/statique/sitesDAM/vdc_cesta_accueil.htm;3;;0;100;91;NULL;2018-10-12 13:02:05;-0.7814;44.64582
Châteaudun;0;déchets;militaire;site militaire centralisant des pièces d'aéronef contenant du thorium;NULL;NULL;;;CEN13.pdf;;;;0;;1;100;86;NULL;2018-10-12 13:02:05;1.33476374487754;48.0714683499432
CEA Cadarache;106;militaire;;"centre de Cadarache - R&D dans le domaine des combustibles au plutonium et réacteurs ; fabrication de Mox";NULL;NULL;;prov_cadar_f.htm;;;;;14;;0;100;90;NULL;2018-12-17 14:10:33;5.75332337063149;43.689705980764
Moronvilliers;0;militaire;;CEA DAM - polygone d'expérimentation militaire;NULL;NULL;Marche;champ_pem_f.htm;;;;http://www-dam.cea.fr/statique/sitesDAM/vdc_idf_focus.htm;2;;0;100;116;NULL;2018-10-12 13:02:05;4.32278875287943;49.2130393847414
Valduc;107;militaire;;CEA - centre nucléaire pour la production d'armements;NULL;NULL;Marche;bourg_val_f.htm;;;;http://www-dam.cea.fr/statique/sitesDAM/vdc_valduc_accueil.htm;1;;0;100;120;NULL;2018-12-18 15:36:21;4.8800570967654;47.5604212857575
Le Ripault;0;militaire;;CEA - centre de pyrotechnie et assemblage d'armements;NULL;NULL;Marche;cen_rip_f.htm;;;;;0;;1;100;113;NULL;2018-10-12 13:02:05;0.665382278635249;47.2900898280984
Le Bouchet - Vert le;0;militaire;;CEA - usines de traitement de minerai et de raffinage et conversion de l'uranium;NULL;NULL;Arrêt définitif;idfg_bouchet_f.htm;;;;http://www.dissident-media.org/infonucleaire/hist_bouchet.html;0;;0;100;42;NULL;2018-10-12 13:02:05;2.36182603883975;48.5387043429211
Bruyères le Châtel;0;militaire;;CEA - centre de recherche et développement;NULL;NULL;;idfg_beg_f.htm;;;;http://www-dam.cea.fr/statique/sitesDAM/vdc_idf_accueil.htm;0;;0;100;114;NULL;2018-10-12 13:02:05;2.20276693048284;48.5955386010139
Île longue;0;militaire;base sous-marine;soutien de la Force Océanique Stratégique;NULL;NULL;Marche;bret_pres_f.htm;;;;;1;;0;100;82;NULL;2018-10-12 13:02:05;-4.50533404806237;48.3061655101728
