Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Châteaudun;0;déchets;militaire;site militaire centralisant des pièces d'aéronef contenant du thorium;NULL;NULL;;;CEN13.pdf;;;;0;;1;100;86;NULL;2018-10-12 13:02:05;1.33476374487754;48.0714683499432
Saint Laurent des Eaux;0;déchets;;entreposage de graphite;NULL;NULL;Marche;cen_sain_f.htm;;;;;0;;1;100;152;153;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Menneville;0;déchets;;Déchets enfouis sous plusieurs mètres de terre dans la période 1985-1987. en provenance de la Société HOECHST en Hollande;NULL;NULL;;;NPC5.pdf;;;;0;;1;100;66;NULL;2018-10-12 13:02:05;1.8489423881829;50.6733039778519
Bollène;0;déchets;;Base Chaude Opérationnelle du Tricastin;1987;NULL;;prov_socat_f.htm;;;;;0;;0;100;107;NULL;2018-10-12 13:02:05;4.73188849083651;44.3204354337769
Noyelles Godault;0;déchets;;usines Pennaroya - usine de traitement de déchets;NULL;NULL;;nord_noy_f.htm;;;;;0;;1;20;23;NULL;2018-10-12 13:02:05;2.98494322987905;50.4120716382425
La Rochelle;0;déchets;;usine Chef de Baie - usine de production de terres rares;NULL;NULL;;poit_roch_f.htm;;;;;0;;0;100;70;NULL;2018-10-12 13:02:05;-1.15363999999997;46.158101
Villejuif;0;déchets;stockage;DEBUS - récupération de métaux. autorisation de détenir jusqu'à 7 t d'uranium appauvri;NULL;NULL;;;IPC62.pdf;;;;0;;1;100;47;NULL;2018-10-12 13:02:05;2.36685827229438;48.7947175079614
Vif;0;déchets;stockage;installation de stockage de déchets non dangereux utilisée par le passé par l'usine Cezus à Jarrie pour des résidus de procédé de fabrication;NULL;NULL;;;RHO11.pdf;;;;0;;1;100;48;NULL;2018-10-12 13:02:05;5.66961340846386;45.0557398481605
Saint-Paul-les-Romans;0;déchets;stockage;Le procédé de conversion de l'uranium en hexafluorure d'uranium (UF6) conduit à la fabrication d'un sous-produit non valorisable. le fluorure de calcium (CaF2) appelé communément fluorine;NULL;NULL;;;RHO12.pdf;;;;0;;1;100;115;NULL;2018-10-12 13:02:05;5.13286799930228;45.0696496447605
Saint-Quentin-sur-Isè;0;déchets;stockage;Lely (+ autre exploitant) - installation de stockage de déchets non dangereux (déchets de Sicn-Veurey-Voroize et de CEN-Grenoble);NULL;NULL;;;RHO9.pdf;;;;0;;1;100;54;NULL;2018-10-12 13:02:05;5.51909264018901;45.262398798026
Pontailler-sur-Saône;0;déchets;stockage;installation de stockage de déchets dangereux ayant reçu des boues de décantation de très faible activité provenant du Centre d'Etudes de VALDUC;NULL;NULL;;;BOU1.pdf;;;;0;;1;100;57;NULL;2018-10-12 13:02:05;5.4115740125615;47.3050696868796
Monteux;0;déchets;stockage;installation de stockage de déchets non dangereux. ayant reçu des déchets provenant de l'usine de la Société Européenne des Produits Réfractaires (SEPR) du Pontet (84)…;NULL;NULL;;;PRO14.pdf;;;;0;;1;100;61;NULL;2018-10-12 13:02:05;4.93674052439587;43.9789614764303
Chilly-mazarin;0;déchets;stockage;des terres provenant de l'assainissement des terrains de l'ancienne usine de la Société Nouvelle du Radium (SNR) à Gif-sur-Yvette ont été enfouies en partie sous l'autoroute A87;NULL;NULL;;;IGC2.pdf;;;;0;;1;100;84;NULL;2018-10-12 13:02:05;2.31255345499443;48.7018098083652
Champteussé-sur-Baconne;0;déchets;stockage;SEDA (Société d'Exploitation des Décharges Angevines) filiale de SITA FD - installation de stockage de déchets dangereux (de Saint-Laurent-des-Eaux. de Chinon);NULL;NULL;;;PAY1.pdf;;;;0;;1;100;87;NULL;2018-10-12 13:02:05;-0.657021297223802;47.6623529752141
Bellegarde;0;déchets;stockage;Installation de stockage de déchets dangereux en exploitation. ayant reçu des fluorures de calcium (CaF2) appelés communément fluorines. de Socatri (Bollène) ou de Chemex (CEN. Grenoble);NULL;NULL;;;LAR2.pdf;;;;2;;1;100;98;NULL;2018-10-12 13:02:05;4.51449800000003;43.753813
Bailleau-Armenonville;0;déchets;stockage;installation de stockage de déchets non dangereux. utilisée en août 1989 par le CEA/Saclay pour des boues séchées issues de fosses de décantation des eaux industrielles du site de l'Orme-des-Merisiers à Saint-Aubin;NULL;NULL;;;CEN1.pdf;;;;0;;1;100;99;NULL;2018-10-12 13:02:05;1.67457171175276;48.523492608745
Angervilliers;0;déchets;stockage;ancienne installation de stockage de déchets dangereux et de déchets non dangereux. utilisée ponctuellement en 1979 par le CEA/SACLAY;NULL;NULL;;;IGC1.pdf;;;;0;;0;100;106;NULL;2018-10-12 13:02:05;2.05416569577144;48.5873506154424
Sully sur Loire;0;déchets;retraitement;AREVA NP - entretien d'outillages spécifiques utilisés dans le cadre d'interventions de contrôle et de maintenance des sites nucléaires.;NULL;NULL;;;CEN17.pdf;;;;0;;1;100;52;NULL;2018-10-12 13:02:05;2.37346188804355;47.7600692525272
Maubeuge;0;déchets;retraitement;entreprise de maintenance de matériel nucléaire générant des effluents liquides évacués vers l'évaporateur du CEA/Saclay;NULL;NULL;;;NPC2.pdf;;;;0;;1;100;67;NULL;2018-10-12 13:02:05;3.97249914841469;50.279106392344
