Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Toulon;0;militaire;;soutien des forces marines et aéronavales;NULL;NULL;Marche;prov_toul_f.htm;;;;;1;;0;100;50;NULL;2018-10-12 13:02:05;5.91175377357069;43.1183616410658
Miramas;0;militaire;;"usine de production de lithium 6 (militaire) et 7 et de bore (civil) ; magasin d'entreposage d'uranium";NULL;NULL;Arrêt définitif;prov_mira_f.htm;;;;http://www.areva.com/FR/activites-715/fin-des-activites-de-chimie-du-combustible-a-areva-miramas.html;1;;0;100;118;NULL;2018-10-12 13:02:05;4.94709175540072;43.5603027468383
Luxeuil;0;militaire;;base aérienne Mirage 2000N;NULL;NULL;Marche;franche_lux_f.htm;;;;;1;;0;20;25;NULL;2018-10-12 13:02:05;6.35490534376087;47.8016827243172
Bruyères le Châtel;0;militaire;;centre de recherche et développement - déchets d'assainissement ou de démantèlement. résultant de la fermeture des principales installations nucléaires du site;NULL;NULL;;idfg_beg_f.htm;IGC21.pdf;;;;0;;1;100;31;NULL;2018-10-12 13:02:05;2.1878313367768;48.5917457554269
Brest;0;militaire;;entretien et construction des bâtiments de la Marine;NULL;NULL;Marche;bret_brest_f.htm;;;;;0;;0;100;32;NULL;2018-10-12 13:02:05;-4.48225324862174;48.3807542556791
Arcueil;0;militaire;;recherche;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;104;NULL;2018-10-12 13:02:05;2.33779384647207;48.8069999818394
Arcueil;0;militaire;;recherche;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;103;NULL;2018-10-12 13:02:05;2.33728629897494;48.8081700054899
Annecy;0;militaire;;usine de métallurgie et usinage de l'uranium;NULL;NULL;;rhone_ann_f.htm;;;;;0;;0;100;105;NULL;2018-10-12 13:02:05;6.12400293971944;45.9033915859514
Arcueil;0;militaire;;Université de Paris - Institut du radium dit « Laboratoire d'Arcueil »;NULL;NULL;;idfp_arc_f.htm;IPC3-9-57.pdf;;;http://www.francenuc.org/fr_sites/idfp_fort_f.htm;0;;1;100;102;NULL;2018-10-12 13:02:05;2.33533607016498;48.8074196537768
Paris. Elysée;0;militaire;PC de tir;PC Jupiter;NULL;NULL;Marche;;;;;;0;;1;100;197;NULL;2018-10-12 13:02:05;2.316486;48.870144
Limeil Brévannes et Valenton;0;militaire;recherche;centre de recherche et développement militaires;NULL;NULL;Arrêt définitif;idfp_lim_f.htm;;;;;0;;1;20;26;NULL;2018-10-12 13:02:05;2.4863938827865;48.7491115958047
Guenvenez;0;militaire;missiles;soutien de la Force Océanique Stratégique;NULL;NULL;Marche;bret_pres_f.htm;;;;;0;;0;100;80;NULL;2018-10-12 13:02:05;-4.51579944521595;48.2626454932214
