Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Saint-Pierre-du-Cantal;0;mine;;mine et usine de traitement de minerai;NULL;NULL;Arrêt définitif;auv_cantal_f.htm;;;;;5;;1;100;39;NULL;2018-10-12 13:02:05;2.33581453043601;45.3841385764557
Saint-Priest-la-Prugne;0;mine;;mine et usine de traitement de minerai;NULL;NULL;Arrêt définitif;rhone_pries_f.htm;;;;;7;;1;100;55;NULL;2018-10-12 13:02:05;3.7189793586731;45.9677429933309
Rophin Lachaux;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;auv_roph_f.htm;;;;;0;;1;20;22;NULL;2018-10-12 13:02:05;3.59284300000003;45.994546
Peny Margnac Compreignac;0;mine;;production de minerai;NULL;NULL;Arrêt définitif;lim_mar_f.htm;;;;http://www.francenuc.org/fr_sites/lim_peny_f.htm;0;;1;100;38;NULL;2018-10-12 13:02:05;1.27769514344379;45.9903402596293
Nogent sur Marne;0;mine;;usine pour l'extraction de radium;NULL;NULL;Démantelé;idfp_nog_f.htm;;;;;0;;1;100;24;NULL;2018-10-12 13:02:05;2.48797000000004;48.8371
Montmassacrot;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_mont_f.htm;;;;;1;;1;100;63;NULL;2018-10-12 13:02:05;1.37865136950313;46.0863575410297
Lodêve;0;mine;;mines et usine de traitement de minerai;NULL;NULL;Arrêt définitif;lang_bosc_f.htm;;;;;2;;1;100;68;NULL;2018-10-12 13:02:05;3.32249887037036;43.7360855169791
Le Cellier;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lang_cel_f.htm;;;;;4;;1;100;41;NULL;2018-10-12 13:02:05;3.70733239740673;44.7226926811072
La Commanderie Mallièvre;0;mine;;production d'uranium (mine. lixiviation);NULL;NULL;Arrêt définitif;pays_comm_f.htm;;;;http://www.francenuc.org/fr_chn/concentration_f.htm;2;;1;100;44;NULL;2018-10-12 13:02:05;-0.866446164136093;46.9109229266569
Jouac;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_jou_f.htm;;;;;2;;1;100;75;NULL;2018-10-12 13:02:05;1.25220008687828;46.3384860953719
Île Saint Denis;0;mine;;extraction du radium à partir du minerai d'uranium;NULL;NULL;Arrêt définitif;idfp_denis_f.htm;;;;;0;;1;20;29;NULL;2018-10-12 13:02:05;2.31738900000004;48.935953
Gueugnon;0;mine;;production d'uranium - usine de traitement de minerais et de préconcentrés d'uranium;1955;1980;Arrêt définitif;bourg_gue_f.htm;BOU3.pdf;;;;4;;1;100;72;NULL;2018-10-12 13:02:05;4.06671432267001;46.5949774596473
Gâtigny l'Escarpière;0;mine;;production d'uranium - mine souterraine et à ciel ouvert;1952;1990;Arrêt définitif;pays_lecap_f.htm;;;;http://www.criirad.org/actualites/uraniumfrance/ecarpiere/somecarpiere.html;2;;1;100;45;NULL;2018-10-12 13:02:05;-1.24000945586096;47.0756882294898
Fanay;0;mine;;CEA puis COGEMA - production d'uranium - site de la Division Minière de La Crouzille;1953;1992;Arrêt définitif;lim_fan_f.htm;LIM6.pdf;;;;0;;1;100;81;NULL;2018-10-12 13:02:05;1.35496297345119;46.0052652825175
Domeyrot - la Ribière;0;mine;;mine et traitement de minerai;NULL;NULL;Arrêt définitif;lim_rib_f.htm;;;;http://www.acro.eu.org/rapport_creuse_2007.pdf;0;;1;100;43;NULL;2018-10-12 13:02:05;2.15764455781595;46.2476772180451
Bessines-sur-Gartempe;0;mine;;production d'uranium - mine souterraine et à ciel ouvert (mine du Brugeaud);1955;1972;Arrêt définitif;lim_bes_f.htm;LIM3.pdf;;;http://www.francenuc.org/fr_sites/lim_mont_f.htm;3;;1;100;96;NULL;2018-10-12 13:02:05;1.36806327692969;46.1136788871114
Bellezane;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;lim_bel_f.htm;;;;;0;;1;100;34;NULL;2018-10-12 13:02:05;1.42620827819253;46.0803879746857
Bertholène;0;mine;;extraction et traitement du minerai d'uranium - mine souterraine et à ciel ouvert;1977;1994;Arrêt définitif;midi_bert_f.htm;MIP1.pdf;;;;1;;1;100;97;NULL;2018-10-12 13:02:05;2.77674908232301;44.3955590725517
Bauzot Issy l'Evêque;0;mine;;production d'uranium;NULL;NULL;Arrêt définitif;bourg_bauzot_f.htm;;;;;3;;1;100;35;NULL;2018-10-12 13:02:05;3.97409000000002;46.708353
Saint-Hippolyte Bergheim;0;mine;;Teufelsloch & Schaentzel - production d'uranium;NULL;NULL;Arrêt définitif;als_hipp_f.htm;;;;;0;;1;100;36;NULL;2018-10-12 13:02:05;7.36423447381281;48.2050837128479
